bit,field,zero_bit_fraction,median_delta,p99_delta,max_finite_delta,amplified_fraction,non_finite_fraction,catastrophic_fraction
0,mantissa,0.5005245293002485,6.103515625e-05,0.000244140625,2.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
1,mantissa,0.5016008743324706,0.0001220703125,0.00048828125,4.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
2,mantissa,0.5043933821966061,0.000244140625,0.0009765625,8.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
3,mantissa,0.5099934426687687,0.00048828125,0.001953125,16.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
4,mantissa,0.5211909844391073,0.0009765625,0.00390625,32.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
5,mantissa,0.5421085401943097,0.001953125,0.0078125,64.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
6,mantissa,0.5838096035947037,0.00390625,0.015625,128.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
7,exponent,0.48462738560751734,0.00872802734375,0.043701171875,233.0,0.48462738560751734,0.0,1.0110803226327161e-08
8,exponent,0.6297708128347521,0.02764892578125,0.0897216796875,346.5,0.6297708128347521,0.0,1.0110803226327161e-08
9,exponent,0.6210309540334166,0.14923095703125,0.662841796875,476.25,0.6210309540334166,0.0,1.0110803226327161e-08
10,exponent,0.40746080821040165,0.026264190673828125,1.929931640625,105570.0,0.40746080821040165,0.0,1.0110803226327161e-08
11,exponent,0.0032006327999305646,0.010009612888097763,0.04589773714542389,27131490.0,0.0032006327999305646,0.0,0.0032006327999305646
12,exponent,0.0011109465644270088,0.00994873046643363,0.04418945311471134,1778116460130.0,0.0011109465644270088,0.0,0.0011109465644270088
13,exponent,0.0011109155754716658,0.00994873046875,0.044189453125,7.636952046515754e+21,0.0011109155754716658,0.0,0.0011109155754716658
14,exponent,0.9999978561157886,3.3853775517647076e+36,1.503689170231686e+37,3.3895313892515355e+38,0.9999890015470358,8.96408056950229e-06,0.9999978561157886
15,sign,0.4999415348712349,0.0198974609375,0.08837890625,828.0,1.0110803226327161e-08,0.0,1.0110803226327161e-08
