model,artifact,revision,weights,total_bits,fraction_below_one,median_exponent,exponent_bias,catastrophic_bits,catastrophic_bit_fraction,one_bit_in
base,base,7ae557604adf67be50417f59c2c2f167def9a775,494032768,7904524288,0.999925591980166,120.0,127,494787536,0.06259548556908678,15.97559298260092
abliterated,abliterated,3dee99dac7c99318ed2b4e9932bfbbac060fb024,494032768,7904524288,0.999925591980166,120.0,127,494787360,0.06259546330335725,15.975598665252885
